"Job Title","Total Salary in 2020","Total Salary in 2021","Total Salary in 2022","Total Salary in 2023"
"Data Engineer",4435672,12829176,132266468,270092957
"Data Scientist",7221524,12381132,113628540,248886163
"Machine Learning Engineer",2334472,5372008,42630636,164442934
"Data Analyst",1461868,6260680,63262828,139149184
"Analytics Engineer",0,0,26075116,61509020
"Research Scientist",1968000,3320144,8531324,61185640
"Research Engineer",0,0,4777810,39901996
"ML Engineer",63864,2668300,9337652,36942176
"Data Architect",0,2000000,20400612,34640232
"Applied Scientist",0,0,8006400,30962456
"Business Intelligence Engineer",0,0,0,18121000
"Data Science Manager",760800,3435036,22963236,17765404
"Machine Learning Scientist",1040000,2280000,7383888,17598088
"Data Manager",0,0,1923504,14910955
"Computer Vision Engineer",240000,286064,798936,11961664
"Director of Data Science",1300000,3374156,999292,11367696
"Data Analytics Manager",0,1520000,3751760,7698860
"BI Developer",0,0,1560000,7506984
"Head of Data",0,2271356,2386080,6454828
"BI Analyst",0,0,1608000,6201284
"Head of Data Science",0,780000,1567500,6083367
"Business Intelligence Analyst",0,0,0,6048600
"NLP Engineer",0,0,417460,5982676
"Data Science Lead",0,600000,660000,5851467
"Data Science Consultant",412000,1508952,3207536,5353028
"Data Operations Engineer",0,0,1340000,5061070
"Machine Learning Software Engineer",0,0,4808800,5047216
"Machine Learning Infrastructure Engineer",200720,780000,1561940,4925140
"Decision Scientist",0,0,0,4770700
"Data Specialist",0,660000,4200000,4749600
"Deep Learning Engineer",0,0,541784,4541680
"AI Developer",0,0,1100000,4414400
"AI Architect",0,0,0,4299744
"Data Lead",0,0,0,3762000
"Business Intelligence Developer",0,0,45000,3626400
"Data Infrastructure Engineer",0,0,0,3441240
"AI Scientist",183584,412212,4506080,3179353
"Data Science Engineer",0,669640,240000,3152696
"Data Modeler",0,0,0,3084816
"Research Analyst",0,0,0,2696228
"Data Quality Analyst",0,0,0,2636720
"MLOps Engineer",0,0,1032000,2423568
"Data Strategist",0,0,0,2040000
"Applied Machine Learning Engineer",0,0,0,1700716
"Cloud Database Engineer",0,0,1400000,1700000
"Analytics Engineering Manager",0,0,0,1599520
"AI Engineer",0,0,0,1525050
"Finance Data Analyst",0,247584,0,1455620
"Software Data Engineer",0,0,0,1339532
"BI Data Analyst",392000,1365036,1487416,1214352
"ETL Developer",0,0,2544012,1183400
"Cloud Data Engineer",0,997176,0,1108708
"Data Operations Analyst",0,0,1449000,1103480
"Data Operations Manager",0,0,0,1088000
"AWS Data Architect",0,0,0,1032000
"Business Data Analyst",1320000,460408,1813008,1021372
"Principal Data Scientist",593044,4783048,621996,985496
"Data Visualization Analyst",0,0,0,960000
"Data Visualization Specialist",0,0,0,940000
"Data Operations Specialist",0,0,0,885680
"Applied Data Scientist",0,657100,3216000,867575
"Data Integration Specialist",0,0,0,773049
"Data Analytics Specialist",0,0,0,760000
"AI Programmer",0,0,160000,736348
"Applied Machine Learning Scientist",0,1845600,2974156,727324
"Staff Data Analyst",60000,0,0,719992
"Big Data Engineer",1172284,467356,645244,714340
"Data Visualization Engineer",0,0,0,713400
"Business Intelligence Data Analyst",0,0,0,665676
"Data Modeller",0,0,0,664416
"Machine Learning Research Engineer",0,80000,264768,655296
"Principal Machine Learning Engineer",0,0,760000,633160
"Product Data Analyst",80000,0,960000,626468
"Big Data Architect",0,398812,0,615196
"ETL Engineer",0,0,0,578288
"Data Analytics Lead",0,0,1620000,525292
"Financial Data Analyst",0,0,700000,520000
"Deep Learning Researcher",0,0,0,496652
"Autonomous Vehicle Technician",0,182220,0,480000
"AI Research Engineer",0,0,0,474940
"Consultant Data Engineer",0,0,0,474156
"Lead Machine Learning Engineer",0,0,995132,460000
"Machine Learning Specialist",0,0,0,440000
"Azure Data Engineer",0,0,0,400000
"Machine Learning Manager",468416,0,1400000,388686
"Insight Analyst",0,0,0,378960
"Compliance Data Analyst",0,0,0,360000
"Lead Data Analyst",348000,758436,0,344964
"Data Science Practitioner",0,0,0,321400
"Principal Data Engineer",0,1540000,0,275319
"Data Management Specialist",0,0,273172,249500
"BI Data Engineer",0,0,0,240000
"Data DevOps Engineer",0,0,0,215936
"Computer Vision Software Engineer",0,739276,600000,215936
"Machine Learning Researcher",0,0,1940944,200000
"Power BI Developer",0,0,0,194343
"Data Engineer 2",0,0,0,186260
"Lead Data Scientist",1220000,162280,2677640,108000
"Data Quality Engineer",0,0,0,95012
"Staff Machine Learning Engineer",0,740000,0,0
"Staff Data Scientist",656000,420000,0,0
"Managing Director Data Science",1200000,0,0,0
"Machine Learning Developer",0,700000,1626512,0
"Sales Data Analyst",240000,0,0,0
"Marketing Data Engineer",0,267880,0,0
"Manager Data Management",0,0,500000,0
"Data Analytics Consultant",0,0,652000,0
"Data Science Tech Lead",0,0,1500000,0
"Data Scientist Lead",0,0,1089224,0
"Marketing Data Analyst",0,354616,800000,0
"Principal Data Architect",0,0,152616,0
"Data Analytics Engineer",0,956788,620000,0
"Cloud Data Architect",0,1000000,0,0
"Lead Data Engineer",724000,2156640,460888,0
"Head of Machine Learning",0,0,305236,0
"Principal Data Analyst",0,680000,300000,0
